nome,cpf,idade,data,endereco,bairro,estado
Nome Inválido,925 .***.***-60,64.0,1961-05-30,"lagoa sarah azevedo
monsenhor messias
68691-716 nunes / ce",monsenhor messias,CE
Nome Inválido,694 .***.***-39,92.0,1933-05-11,"loteamento oliveira, 29
camponesa 1ª seção
35499227 da rosa do oeste / pe",camponesa 1ª seção,PE
Nome Inválido,937 .***.***-37,70.0,1955-03-29,"largo nascimento, 97
delta
00090-218 barbosa / pr",delta,PR
Nome Inválido,349 .***.***-96,72.0,1953-09-15,Endereco Inválido,Desconhecido,Desconhecido
Nome Inválido,184 .***.***-49,41.0,1984-03-23,"aeroporto de das neves, 7
vila sumaré
05152-623 correia das flores / al",vila sumaré,AL
Nome Inválido,106 .***.***-31,48.0,1977-02-13,"conjunto de cardoso, 5
vila minaslandia
42663-889 castro / pr",vila minaslandia,PR
Nome Inválido,645 .***.***-70,81.0,1944-11-06,"viaduto cardoso
belmonte
18780-365 monteiro do campo / ro",belmonte,RO
Nome Inválido,190 .***.***-67,56.0,1969-02-23,"fazenda de barros
boa esperança
74227859 da costa / df",boa esperança,DF
,438 .***.***-56,23.0,2002-04-13,"colônia maria vitória moura
aarão reis
87984-967 rocha de minas / go",aarão reis,GO
Nome Inválido,830 .***.***-00,44.0,1981-10-18,"avenida de cardoso
madre gertrudes
39614351 porto do amparo / rn",madre gertrudes,RN
Nome Inválido,218 .***.***-53,41.0,1984-07-02,"lagoa leandro caldeira, 1
chácara leonina
51972-241 mendes / mt",chácara leonina,MT
Nome Inválido,237 .***.***-19,87.0,1938-03-30,"esplanada de das neves, 5
andiroba
55857-900 moraes do amparo / mg",andiroba,MG
Nome Inválido,582 .***.***-70,71.0,1954-02-04,"praia eloah da mata, 95
cachoeirinha
76620-467 melo / al",cachoeirinha,AL
Nome Inválido,426 .***.***-25,63.0,1962-12-16,"praia carvalho, 7
vila nova
08272068 costela / pa",vila nova,PA
Nome Inválido,907 .***.***-20,24.0,2001-07-18,"área de correia, 44
chácara leonina
16210070 nunes do sul / am",chácara leonina,AM
Nome Inválido,879 .***.***-32,72.0,1953-02-05,"vale lorenzo almeida, 80
vila mantiqueira
39381-620 alves grande / pe",vila mantiqueira,PE
Nome Inválido,602 .***.***-07,67.0,1958-01-13,"chácara isadora das neves
vila da amizade
25121623 ribeiro / pb",vila da amizade,PB
Nome Inválido,016 .***.***-99,67.0,1958-04-24,"estação cunha
calafate
29389355 rocha de gonçalves / pr",calafate,PR
Nome Inválido,079 .***.***-11,48.0,1977-01-28,"loteamento de lima, 1
vila primeiro de maio
16602-243 vieira da mata / mt",vila primeiro de maio,MT
Nome Inválido,839 .***.***-57,76.0,1949-05-21,"alameda de gonçalves, 79
saudade
47129-674 dias / sp",saudade,SP
Nome Inválido,604 .***.***-25,48.0,1977-07-23,"quadra bernardo ferreira, 85
marieta 1ª seção
48882-146 lima de barbosa / pa",marieta 1ª seção,PA
Nome Inválido,526 .***.***-03,44.0,1981-08-14,"rodovia alícia dias, 58
vila boa vista
14088-768 campos de porto / rr",vila boa vista,RR
Nome Inválido,862 .***.***-02,38.0,1987-04-09,"rua de cavalcanti, 8
vila da paz
01240048 souza da serra / ac",vila da paz,AC
Nome Inválido,508 .***.***-67,96.0,1929-06-14,"esplanada de silva, 1
vila puc
06033-930 alves de lopes / go",vila puc,GO
Nome Inválido,284 .***.***-14,27.0,1998-10-04,"viaduto de freitas, 12
centro
41526-260 da cruz dos dourados / rr",centro,RR
Nome Inválido,023 .***.***-16,67.0,1958-06-03,"recanto valentina pinto, 52
satelite
97787-119 mendes de barbosa / pa",satelite,PA
Nome Inválido,519 .***.***-93,60.0,1965-06-03,"passarela de santos, 501
vila atila de paiva
81047029 oliveira / es",vila atila de paiva,ES
Nome Inválido,564 .***.***-11,76.0,1949-12-14,"morro lucca da rocha, 40
bandeirantes
05301527 nascimento / ce",bandeirantes,CE
Nome Inválido,409 .***.***-11,82.0,1943-04-30,"praça de da paz, 5
conjunto jardim filadélfia
17691-504 cavalcanti / to",conjunto jardim filadélfia,TO
Nome Inválido,137 .***.***-32,78.0,1947-12-01,"fazenda joão felipe souza, 78
nova pampulha
08184872 cunha / sc",nova pampulha,SC
Nome Inválido,367 .***.***-10,92.0,1933-02-22,"rodovia cauê monteiro, 50
heliopolis
61521177 martins paulista / ce",heliopolis,CE
Nome Inválido,962 .***.***-34,55.0,1970-07-13,"área de ferreira, 20
vila independencia 2ª seção
75695006 melo / ac",vila independencia 2ª seção,AC
Nome Inválido,409 .***.***-48,97.0,1928-12-18,"núcleo almeida, 41
vila são paulo
63386-457 novaes / pb",vila são paulo,PB
Nome Inválido,314 .***.***-55,24.0,2001-01-27,"lagoa de vieira, 25
paquetá
66090560 pereira do campo / al",paquetá,AL
Nome Inválido,942 .***.***-76,57.0,1968-04-17,"conjunto da luz, 6
chácara leonina
95186702 silva / sc",chácara leonina,SC
Nome Inválido,217 .***.***-73,81.0,1944-05-07,"ladeira de rodrigues, 58
vila são francisco
18153-240 da mata / es",vila são francisco,ES
Nome Inválido,523 .***.***-03,61.0,1964-12-15,"jardim de nascimento, 7
engenho nogueira
72911-524 moreira do galho / rs",engenho nogueira,RS
Nome Inválido,064 .***.***-47,78.0,1947-04-29,"quadra de da cruz, 42
vila jardim montanhes
11782275 mendes / pe",vila jardim montanhes,PE
Nome Inválido,642 .***.***-13,49.0,1976-05-09,"conjunto de da cruz, 1
mariano de abreu
82687-160 azevedo de silva / rj",mariano de abreu,RJ
Nome Inválido,673 .***.***-40,99.0,1926-05-25,"colônia francisco campos, 7
vila betânia
47223-561 da costa do galho / sc",vila betânia,SC
Nome Inválido,643 .***.***-20,72.0,1953-11-01,"largo de barbosa
vila nova gameleira 1ª seção
37778-485 lima / al",vila nova gameleira 1ª seção,AL
Nome Inválido,187 .***.***-94,58.0,1967-01-28,"aeroporto rezende
santo antônio
22751419 melo de porto / sp",santo antônio,SP
Nome Inválido,093 .***.***-32,61.0,1964-09-17,"campo de pinto, 72
santana do cafezal
22684962 porto / pi",santana do cafezal,PI
Nome Inválido,367 .***.***-03,81.0,1944-10-10,"setor de ferreira, 742
vila antena
59176-949 santos / rr",vila antena,RR
Nome Inválido,430 .***.***-04,37.0,1988-04-15,"ladeira de sales, 15
vila são francisco
18447153 das neves / df",vila são francisco,DF
Nome Inválido,694 .***.***-65,98.0,1927-07-11,"ladeira de teixeira
são geraldo
49881-890 rodrigues / pb",são geraldo,PB
Nome Inválido,701 .***.***-22,29.0,1996-02-11,"aeroporto duarte, 9
funcionários
49849669 silva do sul / es",funcionários,ES
Nome Inválido,498 .***.***-48,39.0,1986-09-13,"trecho de martins, 51
vila santa monica 1ª seção
87398-775 nogueira alegre / pr",vila santa monica 1ª seção,PR
Nome Inválido,742 .***.***-07,44.0,1981-10-24,"vila alexia viana, 87
jardim alvorada
22732-445 moreira / pa",jardim alvorada,PA
Nome Inválido,986 .***.***-10,54.0,1971-03-08,"morro melo, 463
grajaú
18981-145 da conceição / ro",grajaú,RO
Nome Inválido,843 .***.***-42,26.0,1999-12-23,"residencial de aragão, 65
planalto
81955-681 barbosa do sul / rn",planalto,RN
Nome Inválido,970 .***.***-05,41.0,1984-06-06,"vereda kamilly da rosa, 80
são geraldo
58360617 castro / sc",são geraldo,SC
Nome Inválido,946 .***.***-70,46.0,1979-08-19,"morro davi luiz correia, 38
vila são paulo
55361364 ferreira do galho / ce",vila são paulo,CE
Nome Inválido,502 .***.***-61,77.0,1948-07-21,"distrito ana laura aragão, 90
jardim do vale
37050371 barbosa / ma",jardim do vale,MA
Nome Inválido,572 .***.***-41,34.0,1991-04-14,"favela gonçalves, 32
cônego pinheiro 1ª seção
62579-612 da costa alegre / pr",cônego pinheiro 1ª seção,PR
Nome Inválido,805 .***.***-83,30.0,1995-11-15,"viela da paz, 92
serra
95443238 correia / mt",serra,MT
Nome Inválido,315 .***.***-03,21.0,2004-09-11,"loteamento emanuelly sales, 135
leticia
56249-362 fernandes de peixoto / sp",leticia,SP
Nome Inválido,261 .***.***-17,47.0,1978-02-03,"favela oliveira, 67
vila copacabana
91636157 rezende / pr",vila copacabana,PR
Nome Inválido,274 .***.***-56,78.0,1947-08-10,"condomínio campos, 38
dom bosco
49718775 melo de minas / sp",dom bosco,SP
Nome Inválido,936 .***.***-01,29.0,1996-01-11,"estação milena silva, 549
bairro das indústrias ii
77860945 silva / pe",bairro das indústrias ii,PE
Nome Inválido,647 .***.***-30,76.0,1949-01-27,"feira alice ramos, 3
são joão batista
84904729 campos paulista / pe",são joão batista,PE
Nome Inválido,248 .***.***-51,66.0,1959-10-25,"passarela nogueira, 8
castelo
08422194 pires de barros / pi",castelo,PI
Nome Inválido,935 .***.***-91,97.0,1928-02-19,"campo campos, 82
são pedro
10003961 da mata / ma",são pedro,MA
Nome Inválido,591 .***.***-73,20.0,2005-09-01,"jardim beatriz farias, 11
acaba mundo
79947-311 farias / al",acaba mundo,AL
Nome Inválido,761 .***.***-34,97.0,1928-01-05,"lagoa cavalcanti
savassi
46594-913 ribeiro do norte / pe",savassi,PE
Nome Inválido,904 .***.***-32,47.0,1978-06-17,"rua sales, 4
universo
73420661 rodrigues das pedras / se",universo,SE
Nome Inválido,593 .***.***-00,67.0,1958-03-05,"viaduto thales costela, 23
mala e cuia
14364-941 farias / ba",mala e cuia,BA
Nome Inválido,658 .***.***-01,49.0,1976-01-29,"distrito maria moraes, 9
vila paris
34507-199 cardoso / pr",vila paris,PR
Nome Inválido,794 .***.***-85,76.0,1949-06-14,"esplanada de moura, 95
boa viagem
73036474 pereira do oeste / ma",boa viagem,MA
Nome Inválido,746 .***.***-90,69.0,1956-06-16,"viaduto de peixoto, 16
inconfidência
10719-934 da cruz / ce",inconfidência,CE
Nome Inválido,650 .***.***-98,50.0,1975-11-19,"condomínio leandro da mota, 20
jatobá
87409412 cavalcanti da mata / to",jatobá,TO
Nome Inválido,386 .***.***-04,42.0,1983-12-25,"trevo carvalho
vila paraíso
27781889 vieira de castro / rn",vila paraíso,RN
Nome Inválido,549 .***.***-91,91.0,1934-12-08,"morro de duarte
pindorama
91232749 cunha / rs",pindorama,RS
Nome Inválido,536 .***.***-56,43.0,1982-07-08,"praia ana carolina correia, 11
santa sofia
12204735 rocha alegre / ro",santa sofia,RO
Nome Inválido,698 .***.***-75,74.0,1951-10-23,"rodovia de fogaça, 96
lajedo
51730-878 cardoso do galho / rs",lajedo,RS
Nome Inválido,863 .***.***-01,100.0,1925-04-27,"rua duarte, 85
vila real 1ª seção
03399083 costa do sul / ac",vila real 1ª seção,AC
Nome Inválido,852 .***.***-11,70.0,1955-10-08,"sítio mariana almeida, 86
carlos prates
09579-357 cavalcanti / pr",carlos prates,PR
Nome Inválido,308 .***.***-31,49.0,1976-08-04,"aeroporto da paz, 54
vila são dimas
26750-505 costa / pr",vila são dimas,PR
Nome Inválido,623 .***.***-34,93.0,1932-01-24,"praia nascimento, 541
senhor dos passos
52251-024 cavalcanti do campo / pa",senhor dos passos,PA
Nome Inválido,120 .***.***-40,21.0,2004-02-23,"distrito de cardoso, 24
flamengo
42222117 jesus da prata / pi",flamengo,PI
Nome Inválido,152 .***.***-97,48.0,1977-10-21,"vale de vieira, 67
suzana
02233962 alves / pa",suzana,PA
Nome Inválido,631 .***.***-87,86.0,1939-02-25,"trecho brenda ferreira, 25
lagoinha
22650-581 da luz / rj",lagoinha,RJ
Nome Inválido,139 .***.***-46,77.0,1948-03-12,"avenida de santos, 89
são pedro
54483394 moraes da mata / ms",são pedro,MS
Nome Inválido,582 .***.***-50,83.0,1942-10-18,"loteamento oliveira, 12
vila da ária
56184582 pires / am",vila da ária,AM
Nome Inválido,679 .***.***-03,22.0,2003-01-07,"vila viana, 68
nova cintra
01930898 porto / am",nova cintra,AM
Nome Inválido,806 .***.***-75,91.0,1934-06-24,"passarela jesus, 34
vila jardim montanhes
90668-539 azevedo / pb",vila jardim montanhes,PB
Nome Inválido,037 .***.***-65,63.0,1962-11-09,"viaduto caldeira
vila nova paraíso
26625-312 oliveira do galho / pe",vila nova paraíso,PE
Nome Inválido,571 .***.***-52,48.0,1977-01-12,"sítio aragão, 73
aguas claras
39221-650 barros / rj",aguas claras,RJ
Nome Inválido,657 .***.***-57,20.0,2005-12-08,"área gabriela nascimento
ermelinda
91481282 silveira / rr",ermelinda,RR
Nome Inválido,830 .***.***-98,29.0,1996-08-25,"estrada agatha correia, 79
xodo-marize
53021-431 azevedo alegre / to",xodo-marize,TO
Nome Inválido,526 .***.***-01,27.0,1998-07-16,"pátio ribeiro, 33
vila oeste
74852-896 barros da mata / ms",vila oeste,MS
Nome Inválido,023 .***.***-03,62.0,1963-01-11,"residencial rebeca da paz, 43
santa inês
11614338 lima do sul / sc",santa inês,SC
Nome Inválido,428 .***.***-19,63.0,1962-04-24,"aeroporto moura, 81
salgado filho
80405-323 moura do galho / sp",salgado filho,SP
Nome Inválido,317 .***.***-50,44.0,1981-04-13,"parque mariane araújo, 1
flamengo
01839098 aragão / ro",flamengo,RO
Nome Inválido,183 .***.***-77,25.0,2000-05-27,"estrada de carvalho, 309
funcionários
12346-410 da luz / df",funcionários,DF
Nome Inválido,031 .***.***-77,77.0,1948-03-17,"via da cunha, 11
sport club
89823119 costela da mata / to",sport club,TO
Nome Inválido,937 .***.***-68,30.0,1995-02-18,"rodovia agatha cavalcanti, 27
santo antônio
57644125 ribeiro / ap",santo antônio,AP
Nome Inválido,418 .***.***-40,87.0,1938-04-06,"praça raul pires
maria virgínia
04343-264 cunha / to",maria virgínia,TO
Nome Inválido,018 .***.***-24,32.0,1993-09-22,"vila farias
braúnas
89867214 nogueira do sul / se",braúnas,SE
Nome Inválido,195 .***.***-86,,1924-07-29,"núcleo maria luiza novaes, 100
xangri-lá
43844226 moura da prata / rj",xangri-lá,RJ
Nome Inválido,316 .***.***-64,70.0,1955-10-15,"esplanada de da cruz, 73
eymard
71825-419 nascimento / pe",eymard,PE
Nome Inválido,267 .***.***-03,46.0,1979-01-13,"jardim ana carolina da mota, 6
vila petropolis
53256-274 moura / ap",vila petropolis,AP
Nome Inválido,803 .***.***-78,40.0,1985-10-05,"vereda de costela, 27
vila de sá
07317531 freitas / mg",vila de sá,MG
Nome Inválido,856 .***.***-11,43.0,1982-09-04,"trevo manuela jesus, 927
ipe
96781793 carvalho / sc",ipe,SC
Nome Inválido,328 .***.***-79,87.0,1938-12-18,"chácara cardoso, 14
vila aeroporto
82122066 fogaça / rn",vila aeroporto,RN
Nome Inválido,985 .***.***-05,40.0,1985-10-18,"praça de oliveira, 35
conjunto santa maria
00397-858 barros dos dourados / rn",conjunto santa maria,RN
Nome Inválido,951 .***.***-88,49.0,1976-11-07,"residencial luigi duarte, 6
manacas
80721305 aragão / sc",manacas,SC
Nome Inválido,189 .***.***-33,98.0,1927-04-29,"núcleo de ferreira, 77
lagoa
66120668 freitas do norte / pr",lagoa,PR
Nome Inválido,317 .***.***-41,28.0,1997-11-30,"área de fernandes, 37
vila são dimas
93804-699 pereira / mt",vila são dimas,MT
Nome Inválido,653 .***.***-17,79.0,1946-04-20,"loteamento porto, 4
vila santo antônio
40994-158 jesus / se",vila santo antônio,SE
Nome Inválido,609 .***.***-38,67.0,1958-12-16,"área de ribeiro, 688
vila vista alegre
53424631 viana / pr",vila vista alegre,PR
Nome Inválido,081 .***.***-84,70.0,1955-09-11,"pátio carlos eduardo azevedo, 76
havaí
05920919 cardoso do norte / ro",havaí,RO
Nome Inválido,873 .***.***-35,85.0,1940-01-09,"quadra almeida, 83
paquetá
47111-767 ferreira / ce",paquetá,CE
Nome Inválido,480 .***.***-05,51.0,1974-01-09,"feira almeida, 72
vila são dimas
54779-178 nogueira da mata / rj",vila são dimas,RJ
Nome Inválido,591 .***.***-05,78.0,1947-08-23,"viaduto de freitas, 46
novo glória
68461-422 da mata do campo / to",novo glória,TO
Nome Inválido,531 .***.***-00,89.0,1936-05-30,"ladeira agatha almeida, 27
vila copacabana
72789380 santos de cardoso / rs",vila copacabana,RS
Nome Inválido,521 .***.***-11,23.0,2002-11-30,"residencial cavalcanti, 50
grota
42720-953 costela / mg",grota,MG
Nome Inválido,317 .***.***-50,96.0,1929-07-19,"colônia bryan costela, 404
suzana
19834-441 rocha / se",suzana,SE
